Mes/Año,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
  Enero,22.20%,21.98%,16.16%,17.81%,21.23%,19.92%,17.71%,16.01%,14.00%,13.52%,12.72%,12.96%,12.74%,13.91%,13.52%,13.28%,13.56%,13.52%,13.78%,13.60%,13.08%,13.05%,13.07%,12.74%,12.65%,12.34%
  Febrero,22.60%,21.21%,16.20%,18.71%,21.39%,19.88%,17.50%,15.84%,13.93%,13.52%,12.74%,12.98%,12.78%,13.95%,13.50%,13.37%,13.49%,13.50%,13.81%,13.48%,13.07%,13.05%,13.05%,12.77%,12.68%,12.32%
  Marzo,22.40%,20.81%,16.37%,18.90%,21.28%,19.58%,17.22%,15.61%,13.89%,13.49%,12.76%,12.89%,13.09%,13.83%,13.48%,13.37%,13.39%,13.50%,13.80%,13.37%,13.11%,13.08%,13.01%,12.79%,12.64%,12.32%
  Abril,22.70%,19.97%,16.14%,18.86%,21.44%,19.42%,17.21%,15.49%,13.97%,13.07%,12.74%,12.81%,13.23%,13.85%,13.42%,13.44%,13.41%,13.53%,13.81%,13.29%,13.13%,13.08%,13.02%,12.75%,12.62%,
  Mayo,22.90%,19.35%,16.21%,19.02%,21.46%,19.23%,17.11%,15.12%,13.93%,13.04%,12.72%,12.76%,13.33%,13.85%,13.36%,13.37%,13.43%,13.59%,13.83%,13.21%,13.15%,13.04%,12.98%,12.74%,12.66%,
  Junio,23.00%,18.96%,16.24%,18.93%,20.92%,19.03%,16.88%,15.10%,13.89%,13.02%,12.72%,12.77%,13.40%,13.82%,13.36%,13.39%,13.46%,13.62%,13.84%,13.15%,13.14%,13.05%,12.94%,12.75%,12.65%,
  Julio,22.90%,18.59%,16.14%,19.31%,21.21%,19.21%,16.75%,14.72%,13.79%,12.90%,12.69%,12.77%,13.48%,13.89%,13.29%,13.37%,13.51%,13.62%,13.87%,13.12%,13.11%,13.06%,12.96%,12.77%,12.46%,
  Agosto,22.80%,17.40%,16.06%,19.49%,20.43%,18.88%,16.55%,14.64%,13.83%,12.88%,12.69%,12.63%,13.57%,13.95%,13.27%,13.45%,13.49%,13.62%,13.74%,13.09%,13.10%,13.06%,12.92%,12.79%,12.48%,
  Septiembre,22.70%,16.78%,16.53%,20.33%,20.53%,18.65%,16.49%,14.47%,13.76%,12.78%,12.70%,12.80%,13.67%,13.98%,13.27%,13.51%,13.52%,13.63%,13.73%,13.13%,13.12%,13.05%,12.87%,12.78%,12.48%,
  Octubre,22.70%,16.52%,16.93%,20.50%,20.47%,18.34%,16.41%,14.39%,13.75%,12.72%,12.91%,12.84%,13.76%,13.93%,13.21%,13.53%,13.59%,13.66%,13.73%,13.12%,13.10%,13.08%,12.85%,12.70%,12.33%,
  Noviembre,22.60%,16.37%,17.55%,20.52%,20.23%,18.11%,16.34%,14.24%,13.56%,12.78%,12.88%,12.89%,13.79%,13.68%,13.21%,13.55%,13.55%,13.68%,13.70%,13.12%,13.08%,13.05%,12.81%,12.67%,12.32%,
  Diciembre,22.40%,16.40%,17.91%,20.62%,20.05%,17.90%,16.20%,14.11%,13.50%,12.67%,12.88%,12.89%,13.84%,13.57%,13.25%,13.51%,13.47%,13.70%,13.64%,13.06%,13.03%,13.00%,12.72%,12.64%,12.33%,
